Source,Target,Weight,Season
DAVID,CLEO_FOX,,5
DAVID,ZEUS,,5
DAVID,DR_JEKYLL,,5
DAVID,ORDERLY,,5
DAVID,MR_HYDE,,5
DAVID,EVIL_QUEEN_SERUM,,5
EMMA,HENRY,,5
EMMA,REGINA,,5
EMMA,RUMPLE,,5
EMMA,SNOW,,5
EMMA,HOOK,,5
EMMA,PAN,,5
EMMA,ZELENA,,5
EMMA,PINOCCHIO,,5
EMMA,JIMINY,,5
EMMA,HUNTSMAN,,5
EMMA,RUBY,,5
EMMA,MIRROR,,5
EMMA,GRANNY,,5
EMMA,GRUMPY,,5
EMMA,GEORGE,,5
EMMA,ABIGAIL,,5
EMMA,CINDERELLA,,5
EMMA,THOMAS,,5
EMMA,WHALE,,5
EMMA,GEPPETTO,,5
EMMA,BLUE,,5
EMMA,JEFFERSON,,5
EMMA,MALEFICENT,,5
EMMA,PRINCE_HENRY,,5
EMMA,KING,,5
EMMA,MARTIN,,5
EMMA,MYRNA,,5
EMMA,RUTH,,5
EMMA,MIDAS,,5
EMMA,ZOSO,,5
EMMA,BEALFIRE,,5
EMMA,HORDOR,,5
EMMA,BLIND_WITCH,,5
EMMA,HANSEL,,5
EMMA,GRETEL,,5
EMMA,WOODCUTTER,,5
EMMA,THATCHER,,5
EMMA,STEALTHY,,5
EMMA,LEOPOLD,,5
EMMA,MAURICE,,5
EMMA,NOVA,,5
EMMA,TOMKINS,,5
EMMA,PETER,,5
EMMA,DANIEL,,5
EMMA,CORA,,5
EMMA,AURORA,,5
EMMA,MULAN,,5
EMMA,PRINCE_PHILIP,,5
EMMA,WRAITH,,5
EMMA,LANCELOT,,5
EMMA,MILAH,,5
EMMA,SMEE,,5
EMMA,IGOR,,5
EMMA,VICTOR_FRANKENSTEIN,,5
EMMA,ANTON,,5
EMMA,ANITA_LUCAS,,5
EMMA,QUINN,,5
EMMA,CLAUDE,,5
EMMA,GREG_MENDELL,,5
EMMA,ALPHONSE_FRANKENSTEIN,,5
EMMA,GERHARDT_FRANKENSTEIN,,5
EMMA,ABRAHAM,,5
EMMA,ARLO,,5
EMMA,JACK,,5
EMMA,SEER,,5
EMMA,QUEEN_EVA,,5
EMMA,JOHANNA,,5
EMMA,TAMARA,,5
EMMA,KING_XAVIER,,5
EMMA,KURT_FLYNN,,5
EMMA,THE_DRAGON,,5
EMMA,SHERIFF_OF_NOTTINGHAM,,5
EMMA,MARIAN,,5
EMMA,ROBIN_HOOD,,5
EMMA,JOHN_DARLING,,5
EMMA,MICHAEL_DARLING,,5
EMMA,THE_SHADOW,,5
EMMA,WENDY,,5
EMMA,FELIX,,5
EMMA,TINKER_BELL,,5
EMMA,LIAM,,5
EMMA,DEVIN,,5
EMMA,ARIEL,,5
EMMA,URSULA,,5
EMMA,PRINCE_ERIC,,5
EMMA,ADOPTION_AGENT,,5
EMMA,MALCOLM,,5
EMMA,SHADOW,,5
EMMA,WALSH,,5
EMMA,RAPUNZEL,,5
EMMA,LUMIERE,,5
EMMA,BLACK_BEARD,,5
EMMA,JONATHAN,,5
EMMA,PRINCE_LEOPOLD,,5
EMMA,GLINDA,,5
EMMA,DOROTHY,,5
EMMA,ANNA,,5
EMMA,GERDA,,5
EMMA,GRAND_PABBIE,,5
EMMA,KRISTOFF,,5
EMMA,SVEN,,5
EMMA,BO_PEEP,,5
EMMA,INGRID,,5
EMMA,HANS,,5
EMMA,WILL_SCARLET,,5
EMMA,APPRENTICE,,5
EMMA,LILY_PAGE,,5
EMMA,LILYS_ADOPTIVE_FATHER,,5
EMMA,COLETTE,,5
EMMA,DUKE_OF_WESELTON,,5
EMMA,HELGA,,5
EMMA,MADAME_FAUSTINA,,5
EMMA,CRUELLA_DE_VIL,,5
EMMA,KING_STEFAN,,5
EMMA,POSEIDON,,5
EMMA,ISAAC_HELLER,,5
EMMA,MADELINE,,5
